Date,AQI,Sample_Duration,Pollutant_Type
1989-05-13,10,24 HOUR,81102
1989-05-18,27,24 HOUR,81102
1989-05-14,8,24 HOUR,81102
1989-05-16,25,24 HOUR,81102
1989-05-17,22,24 HOUR,81102
1989-05-19,38,24 HOUR,81102
1989-05-20,31,24 HOUR,81102
1989-05-21,31,24 HOUR,81102
1989-05-23,26,24 HOUR,81102
1989-05-24,45,24 HOUR,81102
1989-05-25,22,24 HOUR,81102
1989-05-26,19,24 HOUR,81102
1989-05-27,31,24 HOUR,81102
1989-05-28,25,24 HOUR,81102
1989-05-31,11,24 HOUR,81102
1989-06-01,23,24 HOUR,81102
1989-06-02,30,24 HOUR,81102
1989-06-03,13,24 HOUR,81102
1989-06-04,9,24 HOUR,81102
1989-06-06,27,24 HOUR,81102
1989-06-07,25,24 HOUR,81102
1989-06-08,24,24 HOUR,81102
1989-06-09,15,24 HOUR,81102
1989-06-10,17,24 HOUR,81102
1989-06-11,20,24 HOUR,81102
1989-06-13,16,24 HOUR,81102
1989-06-18,26,24 HOUR,81102
1989-06-14,19,24 HOUR,81102
1989-06-15,27,24 HOUR,81102
1989-06-17,20,24 HOUR,81102
1989-06-20,40,24 HOUR,81102
1989-06-21,31,24 HOUR,81102
1989-06-22,21,24 HOUR,81102
1989-06-23,22,24 HOUR,81102
1989-06-24,19,24 HOUR,81102
